City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,yulinshi,38.2906,109.7494,25.04,39,1,3.13,CN,1690222000
202,balabac,7.9868,117.0645,27.91,82,99,8.32,PH,1690222112
203,llallagua,-18.4167,-66.6333,13.57,11,0,7.77,BO,1690222112
204,mede,45.0979,8.7359,24.36,78,88,2.7,IT,1690222112
205,herzogenbuchsee,47.188,7.7062,22.77,69,64,2.27,CH,1690222112
206,al ghayzah,16.2079,52.176,27.08,82,100,3.16,YE,1690222046
207,bonyhad,46.2992,18.5302,28.47,54,78,3.25,HU,1690222112
208,kayangel,8.0823,134.7173,27.91,80,100,4.85,PW,1690222032
209,horodnye,45.8908,28.8483,24.6,49,3,5.92,UA,1690222114
210,acapulco de juarez,16.8634,-99.8901,32.9,55,75,2.57,MX,1690222019
211,urzhar,47.093,81.6294,22.78,27,0,2.86,KZ,1690222115
212,bredasdorp,-34.5322,20.0403,8.32,73,0,2.16,ZA,1690221983
213,khovd,48.0056,91.6419,17.51,45,51,0.21,MN,1690222115
214,veraval,20.9,70.3667,27.35,88,96,8.43,IN,1690222116
215,brookings,44.3114,-96.7984,30.81,49,0,5.14,US,1690222037
216,del rio,29.3627,-100.8968,37.06,37,0,4.12,US,1690222116
217,quatre cocos,-20.2078,57.7625,21.72,81,17,4.02,MU,1690222116
218,kamaishi,39.2667,141.8833,23.03,86,94,3.09,JP,1690222116
219,ad dabbah,18.05,30.95,37.27,11,61,5.64,SD,1690222116
220,moussoro,13.6408,16.4901,32.5,46,36,5.35,TD,1690222116
221,sena madureira,-9.0656,-68.6569,36.32,28,0,0.83,BR,1690222117
222,jamestown,42.097,-79.2353,27.79,53,0,5.14,US,1690221986
223,galliano,29.4422,-90.2992,34.0,52,40,3.6,US,1690222028
224,kerikeri,-35.2268,173.9474,7.17,93,28,2.3,NZ,1690221993
225,karasburg,-28.0167,18.75,11.86,35,100,5.71,NA,1690222117
226,mawu,29.5923,107.3139,23.3,92,100,0.78,CN,1690222117
227,la plata,-34.9215,-57.9545,11.57,77,93,5.9,AR,1690222020
228,dalandzadgad,43.5708,104.425,24.64,34,83,6.9,MN,1690222117
229,chernyshevskiy,63.0128,112.4714,17.97,66,19,2.2,RU,1690222034
230,talnakh,69.4865,88.3972,14.56,71,74,0.99,RU,1690221983
231,dipayal,29.2608,80.94,25.7,92,84,0.54,NP,1690222117
232,san patricio,28.017,-97.5169,36.2,40,33,5.6,US,1690222118
233,port antonio,18.18,-76.4612,33.89,66,10,3.27,JM,1690222118
234,laojunmiao,39.8333,97.7333,24.55,18,18,3.6,CN,1690222041
235,sandersville,32.9815,-82.8101,31.53,43,2,1.27,US,1690222119
236,kisesa,-3.0833,34.15,24.25,39,74,2.76,TZ,1690222119
237,sarandi grande,-33.7333,-56.3333,7.88,93,100,4.94,UY,1690222119
238,san juan,-31.5375,-68.5364,14.29,33,2,3.1,AR,1690221922
239,al kharj,24.155,47.3346,37.84,8,97,4.05,SA,1690222119
240,salinas,36.6777,-121.6555,24.45,71,0,3.09,US,1690222115
241,thinadhoo,0.5333,72.9333,28.47,78,75,6.18,MV,1690222119
242,vanino,49.0869,140.2543,17.03,97,85,1.21,RU,1690222119
243,smithers,54.7804,-127.1743,19.58,56,90,0.65,CA,1690222119
244,siwa oasis,29.2041,25.5195,38.18,16,0,8.47,EG,1690221983
245,north bend,43.4065,-124.2243,24.02,64,0,4.12,US,1690222120
246,amga,60.8953,131.9608,16.59,86,82,1.5,RU,1690222120
247,masina,-4.3836,15.3914,28.78,48,71,1.5,CD,1690222120
248,minas de marcona,-15.2119,-75.1103,17.65,58,12,6.61,PE,1690222019
249,kununurra,-15.7667,128.7333,15.99,39,9,3.6,AU,1690222120
250,zaragoza,41.6561,-0.8773,28.25,37,20,7.72,ES,1690222120
251,paphos,34.7667,32.4167,33.88,27,0,2.06,CY,1690222003
252,ilomantsi,62.6716,30.9328,13.72,98,100,1.58,FI,1690222121
253,namdrik,5.5994,168.1028,28.45,79,49,7.24,MH,1690222121
254,dunedin,-45.8742,170.5036,6.0,95,80,0.45,NZ,1690222121
255,gaigeturi,33.4644,126.3183,25.03,88,75,2.06,KR,1690221906
256,wiset chaichan,14.5945,100.3382,26.27,78,96,3.14,TH,1690222121
257,bay city,43.5945,-83.8889,28.18,63,20,3.6,US,1690222083
258,caldas novas,-17.7417,-48.625,27.56,35,27,5.36,BR,1690222121
259,shingu,33.7333,135.9833,23.13,90,2,1.62,JP,1690222121
260,buka,40.8108,69.1986,29.27,22,0,1.74,UZ,1690221999
261,bosansko grahovo,44.1794,16.3639,24.24,62,10,2.87,BA,1690222122
262,mhamid,29.82,-5.72,43.5,9,42,6.94,MA,1690222012
263,thief river falls,48.1191,-96.1812,28.53,61,0,3.6,US,1690222122
264,mar del plata,-38.0023,-57.5575,9.97,62,40,6.71,AR,1690221916
265,mawlaik,23.6333,94.4167,25.74,96,31,0.45,MM,1690222122
266,maloye ganyushkino,46.6,49.2667,26.06,53,100,5.29,KZ,1690222122
267,linxia chengguanzhen,35.6003,103.2064,17.46,61,8,2.25,CN,1690222041
268,ar rass,25.8694,43.4973,35.08,9,67,4.39,SA,1690222122
269,charata,-27.2144,-61.188,14.97,68,100,5.42,AR,1690222122
270,nizhnyaya salda,58.0776,60.7202,14.57,76,60,1.36,RU,1690222122
271,saguenay,48.4168,-71.0657,28.46,49,40,3.6,CA,1690221903
272,yauya,-8.9833,-77.3,16.53,19,0,1.52,PE,1690222122
